id,business_name,category,city,niche,rating,has_website,has_instagram,has_video_content,review_count,description
1,Al Fassia Rabat,restaurant,Rabat,luxury,2.8,True,False,True,281,"Al Fassia - luxury restaurant in Rabat, rated 2.8/5, website: yes, instagram: no, video content: yes, 281 reviews"
2,Al Fassia Casablanca,restaurant,Casablanca,luxury,2.8,False,True,False,533,"Al Fassia - luxury restaurant in Casablanca, rated 2.8/5, website: no, instagram: yes, video content: no, 533 reviews"
3,Le Relais Rabat,restaurant,Rabat,luxury,3.5,True,False,True,11,"Le Relais - luxury restaurant in Rabat, rated 3.5/5, website: yes, instagram: no, video content: yes, 11 reviews"
4,Le Relais Casablanca,restaurant,Casablanca,budget,4.8,True,True,True,211,"Le Relais - budget restaurant in Casablanca, rated 4.8/5, website: yes, instagram: yes, video content: yes, 211 reviews"
5,Casa Grill Rabat,restaurant,Rabat,casual,3.6,True,True,False,137,"Casa Grill - casual restaurant in Rabat, rated 3.6/5, website: yes, instagram: yes, video content: no, 137 reviews"
6,Casa Grill Casablanca,restaurant,Casablanca,budget,4.8,True,True,False,312,"Casa Grill - budget restaurant in Casablanca, rated 4.8/5, website: yes, instagram: yes, video content: no, 312 reviews"
7,Dar Tajine Rabat,restaurant,Rabat,budget,2.8,False,True,False,188,"Dar Tajine - budget restaurant in Rabat, rated 2.8/5, website: no, instagram: yes, video content: no, 188 reviews"
8,Dar Tajine Casablanca,restaurant,Casablanca,budget,3.9,False,True,False,225,"Dar Tajine - budget restaurant in Casablanca, rated 3.9/5, website: no, instagram: yes, video content: no, 225 reviews"
9,Bab Souika Rabat,restaurant,Rabat,casual,4.5,True,False,False,228,"Bab Souika - casual restaurant in Rabat, rated 4.5/5, website: yes, instagram: no, video content: no, 228 reviews"
10,Bab Souika Casablanca,restaurant,Casablanca,budget,3.7,True,True,False,96,"Bab Souika - budget restaurant in Casablanca, rated 3.7/5, website: yes, instagram: yes, video content: no, 96 reviews"
11,Riad Zitoun Rabat,restaurant,Rabat,casual,3.8,True,False,True,250,"Riad Zitoun - casual restaurant in Rabat, rated 3.8/5, website: yes, instagram: no, video content: yes, 250 reviews"
12,Riad Zitoun Casablanca,restaurant,Casablanca,budget,3.3,True,False,False,496,"Riad Zitoun - budget restaurant in Casablanca, rated 3.3/5, website: yes, instagram: no, video content: no, 496 reviews"
13,Cafe Art Rabat,cafe,Rabat,budget,4.6,False,True,False,209,"Cafe Art - budget cafe in Rabat, rated 4.6/5, website: no, instagram: yes, video content: no, 209 reviews"
14,Cafe Art Casablanca,cafe,Casablanca,budget,4.2,False,False,False,15,"Cafe Art - budget cafe in Casablanca, rated 4.2/5, website: no, instagram: no, video content: no, 15 reviews"
15,Coffee Story Rabat,cafe,Rabat,luxury,4.4,False,True,False,485,"Coffee Story - luxury cafe in Rabat, rated 4.4/5, website: no, instagram: yes, video content: no, 485 reviews"
16,Coffee Story Casablanca,cafe,Casablanca,luxury,3.9,True,False,False,485,"Coffee Story - luxury cafe in Casablanca, rated 3.9/5, website: yes, instagram: no, video content: no, 485 reviews"
17,Terrasse Rabat,cafe,Rabat,budget,3.8,True,False,True,463,"Terrasse - budget cafe in Rabat, rated 3.8/5, website: yes, instagram: no, video content: yes, 463 reviews"
18,Terrasse Casablanca,cafe,Casablanca,budget,4.5,True,True,True,466,"Terrasse - budget cafe in Casablanca, rated 4.5/5, website: yes, instagram: yes, video content: yes, 466 reviews"
19,Beans & Beyond Rabat,cafe,Rabat,luxury,4.4,False,False,False,293,"Beans & Beyond - luxury cafe in Rabat, rated 4.4/5, website: no, instagram: no, video content: no, 293 reviews"
20,Beans & Beyond Casablanca,cafe,Casablanca,budget,3.7,False,True,True,250,"Beans & Beyond - budget cafe in Casablanca, rated 3.7/5, website: no, instagram: yes, video content: yes, 250 reviews"
21,Latte Land Rabat,cafe,Rabat,casual,3.3,True,False,False,402,"Latte Land - casual cafe in Rabat, rated 3.3/5, website: yes, instagram: no, video content: no, 402 reviews"
22,Latte Land Casablanca,cafe,Casablanca,budget,2.9,False,True,False,487,"Latte Land - budget cafe in Casablanca, rated 2.9/5, website: no, instagram: yes, video content: no, 487 reviews"
23,ProFit Rabat,gym,Rabat,casual,2.7,True,False,True,30,"ProFit - casual gym in Rabat, rated 2.7/5, website: yes, instagram: no, video content: yes, 30 reviews"
24,ProFit Casablanca,gym,Casablanca,budget,3.5,False,False,True,439,"ProFit - budget gym in Casablanca, rated 3.5/5, website: no, instagram: no, video content: yes, 439 reviews"
25,Iron Body Rabat,gym,Rabat,budget,4.4,True,True,False,234,"Iron Body - budget gym in Rabat, rated 4.4/5, website: yes, instagram: yes, video content: no, 234 reviews"
26,Iron Body Casablanca,gym,Casablanca,casual,3.6,False,False,False,424,"Iron Body - casual gym in Casablanca, rated 3.6/5, website: no, instagram: no, video content: no, 424 reviews"
27,Pulse Gym Rabat,gym,Rabat,budget,2.9,False,False,False,37,"Pulse Gym - budget gym in Rabat, rated 2.9/5, website: no, instagram: no, video content: no, 37 reviews"
28,Pulse Gym Casablanca,gym,Casablanca,casual,4.0,True,False,False,482,"Pulse Gym - casual gym in Casablanca, rated 4.0/5, website: yes, instagram: no, video content: no, 482 reviews"
29,FitZone Rabat,gym,Rabat,luxury,2.6,False,False,False,398,"FitZone - luxury gym in Rabat, rated 2.6/5, website: no, instagram: no, video content: no, 398 reviews"
30,FitZone Casablanca,gym,Casablanca,casual,4.4,True,False,False,29,"FitZone - casual gym in Casablanca, rated 4.4/5, website: yes, instagram: no, video content: no, 29 reviews"
31,MoveMore Rabat,gym,Rabat,budget,3.8,True,False,False,51,"MoveMore - budget gym in Rabat, rated 3.8/5, website: yes, instagram: no, video content: no, 51 reviews"
32,MoveMore Casablanca,gym,Casablanca,luxury,4.9,False,False,False,139,"MoveMore - luxury gym in Casablanca, rated 4.9/5, website: no, instagram: no, video content: no, 139 reviews"
33,Riad Palace Rabat,hotel,Rabat,casual,4.2,True,False,False,387,"Riad Palace - casual hotel in Rabat, rated 4.2/5, website: yes, instagram: no, video content: no, 387 reviews"
34,Riad Palace Casablanca,hotel,Casablanca,luxury,4.0,True,True,True,177,"Riad Palace - luxury hotel in Casablanca, rated 4.0/5, website: yes, instagram: yes, video content: yes, 177 reviews"
35,City Hotel Rabat,hotel,Rabat,casual,2.8,False,False,False,394,"City Hotel - casual hotel in Rabat, rated 2.8/5, website: no, instagram: no, video content: no, 394 reviews"
36,City Hotel Casablanca,hotel,Casablanca,casual,4.9,False,True,True,258,"City Hotel - casual hotel in Casablanca, rated 4.9/5, website: no, instagram: yes, video content: yes, 258 reviews"
37,Atlas Inn Rabat,hotel,Rabat,luxury,4.2,False,True,True,589,"Atlas Inn - luxury hotel in Rabat, rated 4.2/5, website: no, instagram: yes, video content: yes, 589 reviews"
38,Atlas Inn Casablanca,hotel,Casablanca,luxury,3.4,False,False,False,359,"Atlas Inn - luxury hotel in Casablanca, rated 3.4/5, website: no, instagram: no, video content: no, 359 reviews"
39,Kasbah Hotel Rabat,hotel,Rabat,luxury,4.6,True,False,True,480,"Kasbah Hotel - luxury hotel in Rabat, rated 4.6/5, website: yes, instagram: no, video content: yes, 480 reviews"
40,Kasbah Hotel Casablanca,hotel,Casablanca,budget,2.9,False,True,False,561,"Kasbah Hotel - budget hotel in Casablanca, rated 2.9/5, website: no, instagram: yes, video content: no, 561 reviews"
41,Maison Bab Rabat,hotel,Rabat,casual,3.7,True,True,False,261,"Maison Bab - casual hotel in Rabat, rated 3.7/5, website: yes, instagram: yes, video content: no, 261 reviews"
42,Maison Bab Casablanca,hotel,Casablanca,luxury,3.2,False,True,False,398,"Maison Bab - luxury hotel in Casablanca, rated 3.2/5, website: no, instagram: yes, video content: no, 398 reviews"
43,The Cut Rabat,barbershop,Rabat,casual,2.6,True,False,False,274,"The Cut - casual barbershop in Rabat, rated 2.6/5, website: yes, instagram: no, video content: no, 274 reviews"
44,The Cut Casablanca,barbershop,Casablanca,casual,3.2,True,True,False,539,"The Cut - casual barbershop in Casablanca, rated 3.2/5, website: yes, instagram: yes, video content: no, 539 reviews"
45,Man Cave Rabat,barbershop,Rabat,luxury,2.7,True,True,True,497,"Man Cave - luxury barbershop in Rabat, rated 2.7/5, website: yes, instagram: yes, video content: yes, 497 reviews"
46,Man Cave Casablanca,barbershop,Casablanca,budget,4.3,False,False,False,424,"Man Cave - budget barbershop in Casablanca, rated 4.3/5, website: no, instagram: no, video content: no, 424 reviews"
47,Blade & Blade Rabat,barbershop,Rabat,budget,3.1,True,False,False,362,"Blade & Blade - budget barbershop in Rabat, rated 3.1/5, website: yes, instagram: no, video content: no, 362 reviews"
48,Blade & Blade Casablanca,barbershop,Casablanca,casual,5.0,True,False,False,323,"Blade & Blade - casual barbershop in Casablanca, rated 5.0/5, website: yes, instagram: no, video content: no, 323 reviews"
49,Sharp Cuts Rabat,barbershop,Rabat,casual,3.1,True,False,True,199,"Sharp Cuts - casual barbershop in Rabat, rated 3.1/5, website: yes, instagram: no, video content: yes, 199 reviews"
50,Sharp Cuts Casablanca,barbershop,Casablanca,luxury,3.0,False,True,True,547,"Sharp Cuts - luxury barbershop in Casablanca, rated 3.0/5, website: no, instagram: yes, video content: yes, 547 reviews"
51,Classic Trim Rabat,barbershop,Rabat,budget,3.2,False,False,False,193,"Classic Trim - budget barbershop in Rabat, rated 3.2/5, website: no, instagram: no, video content: no, 193 reviews"
52,Classic Trim Casablanca,barbershop,Casablanca,casual,2.5,True,False,True,576,"Classic Trim - casual barbershop in Casablanca, rated 2.5/5, website: yes, instagram: no, video content: yes, 576 reviews"
53,Serenity Rabat,spa,Rabat,casual,4.2,False,True,False,22,"Serenity - casual spa in Rabat, rated 4.2/5, website: no, instagram: yes, video content: no, 22 reviews"
54,Serenity Casablanca,spa,Casablanca,budget,3.2,False,False,True,268,"Serenity - budget spa in Casablanca, rated 3.2/5, website: no, instagram: no, video content: yes, 268 reviews"
55,Hammam Royale Rabat,spa,Rabat,casual,2.8,False,True,False,64,"Hammam Royale - casual spa in Rabat, rated 2.8/5, website: no, instagram: yes, video content: no, 64 reviews"
56,Hammam Royale Casablanca,spa,Casablanca,luxury,2.9,True,False,True,131,"Hammam Royale - luxury spa in Casablanca, rated 2.9/5, website: yes, instagram: no, video content: yes, 131 reviews"
57,Glow Spa Rabat,spa,Rabat,budget,4.4,True,True,False,545,"Glow Spa - budget spa in Rabat, rated 4.4/5, website: yes, instagram: yes, video content: no, 545 reviews"
58,Glow Spa Casablanca,spa,Casablanca,casual,3.6,False,True,True,322,"Glow Spa - casual spa in Casablanca, rated 3.6/5, website: no, instagram: yes, video content: yes, 322 reviews"
59,Pure Bliss Rabat,spa,Rabat,budget,4.1,True,True,True,222,"Pure Bliss - budget spa in Rabat, rated 4.1/5, website: yes, instagram: yes, video content: yes, 222 reviews"
60,Pure Bliss Casablanca,spa,Casablanca,budget,3.0,True,False,False,86,"Pure Bliss - budget spa in Casablanca, rated 3.0/5, website: yes, instagram: no, video content: no, 86 reviews"
61,La Beaute Rabat,spa,Rabat,luxury,2.5,False,True,False,247,"La Beaute - luxury spa in Rabat, rated 2.5/5, website: no, instagram: yes, video content: no, 247 reviews"
62,La Beaute Casablanca,spa,Casablanca,casual,4.3,True,True,False,280,"La Beaute - casual spa in Casablanca, rated 4.3/5, website: yes, instagram: yes, video content: no, 280 reviews"
