name,category,subcategory,niche,city,lat,lon,rating,price_level,has_website,has_phone,opening_hours,cuisine,address,osm_class,osm_type,importance,description
Le bain Maure hammam & spa,spa,spa,casual,Fès ⴼⴰⵙ فاس,34.0606391,-4.9783957,3.5,2,False,False,,,Derb Sidi Mohammed L'Haj درب سيدي محمد الحاج,shop,massage,6.616083009074567e-05,"Le bain Maure hammam & spa - casual spa in Fès ⴼⴰⵙ فاس, rated 3.5/5"
Riad Authentic Palace & Spa,spa,spa,luxury,Fès ⴼⴰⵙ فاس,34.0584310,-4.9791733,3.5,3,False,False,,,Derb Beniss,tourism,hotel,6.616083009074567e-05,"Riad Authentic Palace & Spa - luxury spa in Fès ⴼⴰⵙ فاس, rated 3.5/5"
Riad Maison Bleue & Spa,spa,spa,luxury,Fès ⴼⴰⵙ فاس,34.0649855,-4.9819002,3.5,3,False,True,,,Derb El Miter,tourism,guest_house,6.616083009074567e-05,"Riad Maison Bleue & Spa - luxury spa in Fès ⴼⴰⵙ فاس, has phone, rated 3.5/5"
Palais Sheherazade & spa,spa,spa,casual,Fès ⴼⴰⵙ فاس,34.0589883,-4.9787833,3.5,2,False,False,,,Derb Beniss,tourism,hotel,6.616083009074567e-05,"Palais Sheherazade & spa - casual spa in Fès ⴼⴰⵙ فاس, rated 3.5/5"
Palais Medina Spa,spa,spa,casual,Fès ⴼⴰⵙ فاس,34.0476500,-4.9929539,3.5,2,True,False,,,Boulevard Allal El Fassi,tourism,hotel,4.5001144426596745e-05,"Palais Medina Spa - casual spa in Fès ⴼⴰⵙ فاس, has website, rated 3.5/5"
Dar Besouda,spa,spa,casual,Fès ⴼⴰⵙ فاس,34.0646588,-4.9770942,3.5,2,False,False,,,Derb Zqaq Rouah زقاق الرواح,tourism,guest_house,6.616083009074567e-05,"Dar Besouda - casual spa in Fès ⴼⴰⵙ فاس, rated 3.5/5"
Rue El Hammam,spa,hammam,casual,Fès ⴼⴰⵙ فاس,34.0632526,-4.9759018,3.6,2,False,False,,,Rue El Hammam,highway,footway,0.040066160830090784,"Rue El Hammam - casual spa in Fès ⴼⴰⵙ فاس, rated 3.6/5"
Hammam Bousouifa,spa,hammam,casual,Fès ⴼⴰⵙ فاس,34.0636403,-4.9810629,3.5,2,False,False,,,Rue Talaâ Kbira الطالعة الكبيرة,leisure,sauna,6.616083009074567e-05,"Hammam Bousouifa - casual spa in Fès ⴼⴰⵙ فاس, rated 3.5/5"
Hammam Sidi Azouz,spa,hammam,casual,Fès ⴼⴰⵙ فاس,34.0616945,-4.9831743,3.5,2,False,False,,,Rue Talâa Saghira,amenity,public_bath,6.616083009074567e-05,"Hammam Sidi Azouz - casual spa in Fès ⴼⴰⵙ فاس, rated 3.5/5"
Hammam Mernissi,spa,hammam,casual,Fès ⴼⴰⵙ فاس,34.0615993,-4.9835585,3.5,2,False,True,,,Bab Boujloud باب بوجلود,amenity,public_bath,6.616083009074567e-05,"Hammam Mernissi - casual spa in Fès ⴼⴰⵙ فاس, has phone, rated 3.5/5"
Hammam et coiffeur,spa,hammam,casual,Fès ⴼⴰⵙ فاس,34.0329888,-4.9965746,3.5,2,False,False,,,Rue 1 زنقة,shop,hairdresser,6.616083009074567e-05,"Hammam et coiffeur - casual spa in Fès ⴼⴰⵙ فاس, rated 3.5/5"
Hammam,spa,hammam,casual,Ifrane ⵉⴼⵔⴰⵏ إفران,33.5255209,-5.1182782,3.5,2,False,False,,,Avenue Mohammed 5 شارع محمد الخامس,leisure,sauna,5.339360646977977e-05,"Hammam - casual spa in Ifrane ⵉⴼⵔⴰⵏ إفران, rated 3.5/5"
Yasser Gym Form,gym,gym,casual,Fès ⴼⴰⵙ فاس,34.0344390,-4.9938188,3.5,2,False,True,,,Rue Omar Al Idrissi زنقة عمر الإدريسي,shop,sports,6.616083009074567e-05,"Yasser Gym Form - casual gym in Fès ⴼⴰⵙ فاس, has phone, rated 3.5/5"
"Association Muscle , Fitnesse et Gym",gym,gym,casual,Fès ⴼⴰⵙ فاس,34.0444911,-5.0027642,3.5,2,False,False,,,Avenue Egypte,leisure,fitness_centre,6.616083009074567e-05,"Association Muscle , Fitnesse et Gym - casual gym in Fès ⴼⴰⵙ فاس, rated 3.5/5"
Club Sportif Rayan Gym Form 24,gym,gym,casual,Fès ⴼⴰⵙ فاس,34.0447712,-5.0064612,3.5,2,False,False,,,Imam Chafai,leisure,fitness_centre,6.616083009074567e-05,"Club Sportif Rayan Gym Form 24 - casual gym in Fès ⴼⴰⵙ فاس, rated 3.5/5"
GYM PLUS,gym,gym,casual,Fès ⴼⴰⵙ فاس,34.0336393,-5.0069728,3.5,2,False,False,,,Avenue Mohamed Abdou شارع محمد عبده,shop,sports,6.616083009074567e-05,"GYM PLUS - casual gym in Fès ⴼⴰⵙ فاس, rated 3.5/5"
Park fitness,gym,fitness,casual,Fès ⴼⴰⵙ فاس,34.0266151,-4.9949366,3.5,2,False,False,,,Boulevard Moulay Hicham,leisure,fitness_centre,6.616083009074567e-05,"Park fitness - casual gym in Fès ⴼⴰⵙ فاس, rated 3.5/5"
Palais Fitness,gym,fitness,casual,Fès ⴼⴰⵙ فاس,34.0356744,-4.9959255,3.5,2,False,True,,,Rue Cheikhmaâ El Aïnaïne,leisure,fitness_centre,6.616083009074567e-05,"Palais Fitness - casual gym in Fès ⴼⴰⵙ فاس, has phone, rated 3.5/5"
Le Park Fitness & Spa,gym,fitness,casual,Fès ⴼⴰⵙ فاس,34.0443630,-4.9968586,3.5,2,False,False,,,Avenue Hassan II شارع الحسن الثاني,leisure,fitness_centre,6.616083009074567e-05,"Le Park Fitness & Spa - casual gym in Fès ⴼⴰⵙ فاس, rated 3.5/5"
Stars Fitness,gym,fitness,casual,Fès ⴼⴰⵙ فاس,34.0078304,-5.0032088,3.5,2,False,False,,,Boulevard Abu Houriya,leisure,fitness_centre,6.616083009074567e-05,"Stars Fitness - casual gym in Fès ⴼⴰⵙ فاس, rated 3.5/5"
Time Fitness,gym,fitness,casual,Fès ⴼⴰⵙ فاس,34.0097615,-5.0117867,3.5,2,False,False,,,Rue 3 زنقة,leisure,fitness_centre,6.616083009074567e-05,"Time Fitness - casual gym in Fès ⴼⴰⵙ فاس, rated 3.5/5"
Riad Dar Mystere,hotel,hotel,luxury,Fès ⴼⴰⵙ فاس,34.0622567,-4.9815211,3.5,3,False,False,,,Derb Tariana Sghira,tourism,guest_house,6.616083009074567e-05,"Riad Dar Mystere - luxury hotel in Fès ⴼⴰⵙ فاس, rated 3.5/5"
مرجان واد فاس,supermarket,supermarket,casual,Fès ⴼⴰⵙ فاس,34.0494395,-5.0356863,3.5,2,False,False,,,RN6;RN4,shop,supermarket,6.616083009074567e-05,"مرجان واد فاس - casual supermarket in Fès ⴼⴰⵙ فاس, wheelchair accessible, rated 3.5/5"
Marjane Fès II مرجان فاس 2,supermarket,supermarket,casual,Fès ⴼⴰⵙ فاس,33.9856729,-4.9995590,3.5,2,False,False,,,RN8,shop,supermarket,6.616083009074567e-05,"Marjane Fès II مرجان فاس 2 - casual supermarket in Fès ⴼⴰⵙ فاس, rated 3.5/5"
Marjane Fès Saiss,supermarket,supermarket,casual,Fès ⴼⴰⵙ فاس,33.9856059,-4.9995410,3.5,2,True,True,,,RN8,shop,supermarket,6.616083009074567e-05,"Marjane Fès Saiss - casual supermarket in Fès ⴼⴰⵙ فاس, has website, has phone, rated 3.5/5"
la muralla tangier,restaurant,chicken;burger;moroccan;french,casual,Tanger طنجة,35.7885349,-5.8148534,3.5,2,True,True,Mo-Su 12:00-02:00,chicken;burger;moroccan;french,,amenity,restaurant,6.757076371400041e-05,"la muralla tangier - casual restaurant in Tanger طنجة, cuisine: chicken;burger;moroccan;french, has opening hours, has website, has phone, rated 3.5/5"
Indian Spice Tangier,restaurant,restaurant,casual,Tanger طنجة,35.7777259,-5.8092817,3.5,2,False,False,Su-Th 13:30-23:35; Fr-Sa 14:00-00:00,,rue Moulay Abdellah,amenity,restaurant,6.757076371400041e-05,"Indian Spice Tangier - casual restaurant in Tanger طنجة, has opening hours, rated 3.5/5"
Chili’s Tangier,restaurant,burger;grill;mexican;pizza,casual,Tanger طنجة,35.7736700,-5.8010564,3.5,2,False,False,Mo-Su 12:00-00:00,burger;grill;mexican;pizza,Avenue Ludwig Van Beethoven,amenity,restaurant,6.757076371400041e-05,"Chili’s Tangier - casual restaurant in Tanger طنجة, cuisine: burger;grill;mexican;pizza, has opening hours, rated 3.5/5"
Restaurant,restaurant,restaurant,casual,Bni Said بني سعيد,35.4241516,-5.1212723,3.5,2,False,False,,,RR406,amenity,restaurant,5.000152590214416e-05,"Restaurant - casual restaurant in Bni Said بني سعيد, rated 3.5/5"
Restaurant,restaurant,restaurant,casual,Issaguen ⵉⵙⴰⴳⵏ اساكن,34.9137304,-4.5693152,3.5,2,False,False,,,RR509,amenity,restaurant,5.000152590214416e-05,"Restaurant - casual restaurant in Issaguen ⵉⵙⴰⴳⵏ اساكن, rated 3.5/5"
Restaurant,restaurant,restaurant,casual,Ksar al Majaz ⵇⵚⴰⵔ ⵍⵎⵊⴰⵣ قصر المجاز,35.8597691,-5.5320220,3.5,2,False,False,,,RN16,amenity,restaurant,5.000152590214416e-05,"Restaurant - casual restaurant in Ksar al Majaz ⵇⵚⴰⵔ ⵍⵎⵊⴰⵣ قصر المجاز, rated 3.5/5"
Cafe Socco Tangier,cafe,cafe,casual,Tanger طنجة,35.7832939,-5.8139814,3.5,2,False,False,,,Rue d'Angleterre,amenity,cafe,6.757076371400041e-05,"Cafe Socco Tangier - casual cafe in Tanger طنجة, rated 3.5/5"
Café,cafe,cafe,casual,Tétouan تطوان,35.5716916,-5.3671437,3.5,2,False,False,,,El-Uassa,amenity,cafe,6.134966048671728e-05,"Café - casual cafe in Tétouan تطوان, rated 3.5/5"
café,cafe,cafe,casual,Chefchaouen ⴰⵛⵛⴰⵡⵏ شفشاون,35.1687466,-5.2626831,3.5,2,False,False,,,Place Outa Hamam ساحة اوطا حمام,amenity,cafe,5.4718089570413024e-05,"café - casual cafe in Chefchaouen ⴰⵛⵛⴰⵡⵏ شفشاون, rated 3.5/5"
Café,cafe,cafe,casual,Bni Said بني سعيد,35.4238941,-5.1216407,3.5,2,False,False,,,RR406,amenity,cafe,5.000152590214416e-05,"Café - casual cafe in Bni Said بني سعيد, rated 3.5/5"
Café,cafe,cafe,casual,Ksar al Majaz ⵇⵚⴰⵔ ⵍⵎⵊⴰⵣ قصر المجاز,35.8989321,-5.4748773,3.5,2,False,False,,,RN16,amenity,cafe,5.000152590214416e-05,"Café - casual cafe in Ksar al Majaz ⵇⵚⴰⵔ ⵍⵎⵊⴰⵣ قصر المجاز, rated 3.5/5"
Café,cafe,cafe,casual,Bab Taza باب تازة,35.0582121,-5.2064113,3.5,2,False,False,,,RN2,amenity,cafe,5.000152590214416e-05,"Café - casual cafe in Bab Taza باب تازة, rated 3.5/5"
Nord-Pinus Bar,bar,bar,casual,Tanger طنجة,35.7889991,-5.8134841,3.5,2,False,True,,,Rue Riad Sultan,amenity,bar,6.757076371400041e-05,"Nord-Pinus Bar - casual bar in Tanger طنجة, has phone, rated 3.5/5"
Chico's Restaurant and Bar,bar,bar,casual,Tanger طنجة,35.7783706,-5.8099789,3.5,2,False,False,,,Rue Allal Ben Abdallah,amenity,bar,6.757076371400041e-05,"Chico's Restaurant and Bar - casual bar in Tanger طنجة, rated 3.5/5"
Sky 5 Restaurant + Bar Tapas,bar,spanish;tapas,casual,Tanger طنجة,35.7835235,-5.7971553,3.5,2,True,False,Mo-Su 13:00-02:00,spanish;tapas,Avenue Mohammed VI شارع محمد السادس,amenity,bar,3.750133516437045e-05,"Sky 5 Restaurant + Bar Tapas - casual bar in Tanger طنجة, cuisine: spanish;tapas, has opening hours, has website, rated 3.5/5"
American Fast Food,fast_food,american,budget,Tanger طنجة,35.7798947,-5.8114485,3.5,1,False,False,,american,Rue Al Moutanabbi,amenity,restaurant,6.757076371400041e-05,"American Fast Food - budget fast_food in Tanger طنجة, cuisine: american, rated 3.5/5"
Fast & Good,fast_food,fast food,budget,Tanger طنجة,35.7768550,-5.8023246,3.5,1,False,False,,,Avenue Yousef Bnou Tachafine,amenity,fast_food,6.757076371400041e-05,"Fast & Good - budget fast_food in Tanger طنجة, rated 3.5/5"
Local bakery,bakery,bakery,casual,Tanger طنجة,35.7865396,-5.8139374,3.5,2,False,False,,,Avenue Ibn Al Abbar,shop,bakery,6.757076371400041e-05,"Local bakery - casual bakery in Tanger طنجة, rated 3.5/5"
pharmacy,pharmacy,pharmacy,casual,Tanger طنجة,35.7403319,-5.8779690,3.5,2,False,False,,,Rocade des Deux Mers,highway,bus_stop,6.757076371400041e-05,"pharmacy - casual pharmacy in Tanger طنجة, rated 3.5/5"
Spa,spa,spa,casual,Tanger طنجة,35.7786237,-5.8048331,3.5,2,False,False,,,Rue Antaki,shop,cosmetics,6.757076371400041e-05,"Spa - casual spa in Tanger طنجة, rated 3.5/5"
Hammam,spa,hammam,casual,Tanger طنجة,35.7536410,-5.8053589,3.5,2,False,False,,,Boulevard Fatima Zahra,highway,bus_stop,6.757076371400041e-05,"Hammam - casual spa in Tanger طنجة, rated 3.5/5"
Hammam Aharrar,spa,hammam,casual,Tanger طنجة,35.7887429,-5.8153353,3.6,2,False,False,,,Hammam Aharrar,highway,pedestrian,0.05340090409704734,"Hammam Aharrar - casual spa in Tanger طنجة, rated 3.6/5"
Rue Hammam Alanf,spa,hammam,casual,Tanger طنجة,35.7698407,-5.7491236,3.6,2,False,False,,,Rue Hammam Alanf,highway,residential,0.053383334859235486,"Rue Hammam Alanf - casual spa in Tanger طنجة, rated 3.6/5"
Chorouk Fitness,gym,fitness,casual,Tétouan تطوان,35.5822987,-5.3475857,3.5,2,False,True,Mo-Sa 00:00-24:00,,Rue Bagdad زنقة بغداد,leisure,sports_centre,6.134966048671728e-05,"Chorouk Fitness - casual gym in Tétouan تطوان, has opening hours, has phone, rated 3.5/5"
Amana Fitness,gym,fitness,casual,Chefchaouen ⴰⵛⵛⴰⵡⵏ شفشاون,35.1668261,-5.2622599,3.5,2,True,False,,,Rue Sidi Douieb زنقة سيدي الدويب,leisure,fitness_centre,5.4718089570413024e-05,"Amana Fitness - casual gym in Chefchaouen ⴰⵛⵛⴰⵡⵏ شفشاون, has website, rated 3.5/5"
Moving Fitness Club,gym,fitness,casual,Chefchaouen ⴰⵛⵛⴰⵡⵏ شفشاون,35.1671828,-5.2696069,3.5,2,False,False,,,Rue Oukbat Ibn Nafie زنقة عقبة ابن نافع,leisure,sports_centre,5.4718089570413024e-05,"Moving Fitness Club - casual gym in Chefchaouen ⴰⵛⵛⴰⵡⵏ شفشاون, rated 3.5/5"
قاعة ومطعم اوميگا كلوب,gym,fitness,casual,Aït Youssef Ou Ali آيت يوسف أو علي,35.1954818,-3.8804703,3.5,2,True,True,24/7,,La Rocade Méditerranéenne الطريق الساحلية المتوسطية,leisure,fitness_centre,5.000152590214416e-05,"قاعة ومطعم اوميگا كلوب - casual gym in Aït Youssef Ou Ali آيت يوسف أو علي, has opening hours, has website, has phone, rated 3.5/5"
Maison Maggie Tangier,hotel,hotel,casual,Tanger طنجة,35.7892326,-5.8153607,3.5,2,False,False,,,Hammam Aharrar,tourism,hotel,6.757076371400041e-05,"Maison Maggie Tangier - casual hotel in Tanger طنجة, rated 3.5/5"
Tangier Kasbah Hostel,hotel,hotel,casual,Tanger طنجة,35.7878594,-5.8123659,3.5,2,True,True,Mo-Su 09:00-23:00,,Rue Sidi Khalil,tourism,hostel,6.757076371400041e-05,"Tangier Kasbah Hostel - casual hotel in Tanger طنجة, has opening hours, has website, has phone, rated 3.5/5"
The Riad Hostel Tangier,hotel,hotel,luxury,Tanger طنجة,35.7873539,-5.8102954,3.5,3,False,True,,,Rue Mohamed Bergach,tourism,hostel,6.757076371400041e-05,"The Riad Hostel Tangier - luxury hotel in Tanger طنجة, has phone, rated 3.5/5"
Hilton Tangier City Center,hotel,hotel,casual,Tanger طنجة,35.7729069,-5.7860608,3.5,2,True,True,,,RN16,tourism,hotel,3.750133516437045e-05,"Hilton Tangier City Center - casual hotel in Tanger طنجة, has website, has phone, wheelchair accessible, rated 3.5/5"
Hotel,hotel,hotel,casual,Chefchaouen ⴰⵛⵛⴰⵡⵏ شفشاون,35.1699143,-5.2660427,3.5,2,False,False,,,Rue M'Salla Kdema زنقة المصلى القديمة,tourism,hotel,5.4718089570413024e-05,"Hotel - casual hotel in Chefchaouen ⴰⵛⵛⴰⵡⵏ شفشاون, rated 3.5/5"
Hotel,hotel,hotel,casual,Ksar Sghir القصر الصغير,35.8264381,-5.6602849,3.5,2,False,False,,,RN16,tourism,hotel,3.750133516437045e-05,"Hotel - casual hotel in Ksar Sghir القصر الصغير, rated 3.5/5"
supermarket(Alcohol),supermarket,supermarket,casual,Tanger طنجة,35.7794744,-5.8117251,3.5,2,False,False,,,Rue Zeriabe,shop,supermarket,6.757076371400041e-05,"supermarket(Alcohol) - casual supermarket in Tanger طنجة, rated 3.5/5"
Plaza Meknes,restaurant,restaurant,casual,Meknès ⴰⵎⴽⵏⴰⵙ مكناس,33.8792268,-5.5627138,3.5,2,False,False,,,Avenue Abdelkrim Al Khattabi شارع عبد الكريم الخطابي,amenity,restaurant,6.176012817573842e-05,"Plaza Meknes - casual restaurant in Meknès ⴰⵎⴽⵏⴰⵙ مكناس, rated 3.5/5"
Goût de Meknès,restaurant,restaurant,casual,Meknès ⴰⵎⴽⵏⴰⵙ مكناس,33.8953092,-5.5648959,3.5,2,False,False,,,Rue Souk Kebbabine,amenity,restaurant,6.176012817573842e-05,"Goût de Meknès - casual restaurant in Meknès ⴰⵎⴽⵏⴰⵙ مكناس, rated 3.5/5"
MEKNES's Bakery,restaurant,restaurant,casual,Tétouan تطوان,35.5843520,-5.3512960,3.5,2,False,False,,,Avenue Sidi Mohamed El Kharraz,amenity,restaurant,6.134966048671728e-05,"MEKNES's Bakery - casual restaurant in Tétouan تطوان, rated 3.5/5"
Aire de service Meknes,restaurant,restaurant,casual,Majjate ⵎⵊⵊⴰⵟ مجاط,33.8327875,-5.5680257,3.5,2,False,False,,,Autoroute Rabat-Oujda الطريق السيار الرباط-وجدة,amenity,restaurant,5.000152590214416e-05,"Aire de service Meknes - casual restaurant in Majjate ⵎⵊⵊⴰⵟ مجاط, rated 3.5/5"
Boulangerie MEKNÈS,restaurant,restaurant,casual,Martil ⵎⴰⵔⵜⵉⵍ مرتيل,35.6152810,-5.2879009,3.5,2,False,False,,,Avenue Bni Arous,amenity,restaurant,4.9259937437964715e-05,"Boulangerie MEKNÈS - casual restaurant in Martil ⵎⴰⵔⵜⵉⵍ مرتيل, rated 3.5/5"
Restaurant,restaurant,restaurant,casual,Oued Ifrane حد واد إيفران,33.2917492,-5.4906941,3.5,2,False,False,,,RN8,amenity,fast_food,5.000152590214416e-05,"Restaurant - casual restaurant in Oued Ifrane حد واد إيفران, rated 3.5/5"
مقهى,cafe,cafe,casual,Meknès ⴰⵎⴽⵏⴰⵙ مكناس,33.8601810,-5.5348943,3.5,2,False,False,,,Rue 1 زنقة 1,amenity,cafe,6.176012817573842e-05,"مقهى - casual cafe in Meknès ⴰⵎⴽⵏⴰⵙ مكناس, rated 3.5/5"
CAFÉ,cafe,cafe,casual,Meknès ⴰⵎⴽⵏⴰⵙ مكناس,33.8554420,-5.5381160,3.5,2,False,False,,,Rue 1 زنقة 1,amenity,cafe,6.176012817573842e-05,"CAFÉ - casual cafe in Meknès ⴰⵎⴽⵏⴰⵙ مكناس, rated 3.5/5"
Café مقهى,cafe,cafe,casual,Meknès ⴰⵎⴽⵏⴰⵙ مكناس,33.8791670,-5.5626960,3.5,2,False,False,,,Avenue Abdelkrim Al Khattabi شارع عبد الكريم الخطابي,amenity,cafe,6.176012817573842e-05,"Café مقهى - casual cafe in Meknès ⴰⵎⴽⵏⴰⵙ مكناس, rated 3.5/5"
Cafe Wardat Meknes,cafe,cafe,casual,Tanger طنجة,35.7371423,-5.8870679,3.5,2,False,False,,,Campus الحي الجامعي,amenity,cafe,6.757076371400041e-05,"Cafe Wardat Meknes - casual cafe in Tanger طنجة, rated 3.5/5"
Cafe La Perle du Meknes,cafe,cafe,casual,Meknès ⴰⵎⴽⵏⴰⵙ مكناس,33.8704754,-5.5596855,3.5,2,False,False,,,Lotissement Saramito Secteur 3,amenity,cafe,6.176012817573842e-05,"Cafe La Perle du Meknes - casual cafe in Meknès ⴰⵎⴽⵏⴰⵙ مكناس, rated 3.5/5"
Aire de service Meknes,cafe,cafe,casual,Majjate ⵎⵊⵊⴰⵟ مجاط,33.8328637,-5.5679280,3.5,2,False,False,,,Autoroute Rabat-Oujda الطريق السيار الرباط-وجدة,amenity,cafe,5.000152590214416e-05,"Aire de service Meknes - casual cafe in Majjate ⵎⵊⵊⴰⵟ مجاط, rated 3.5/5"
Cafe,cafe,cafe,casual,Fès ⴼⴰⵙ فاس,34.0183395,-5.0516125,3.5,2,False,False,,,RP5006,amenity,cafe,6.616083009074567e-05,"Cafe - casual cafe in Fès ⴼⴰⵙ فاس, rated 3.5/5"
Cafe,cafe,moroccan,casual,Timhadit تمهديت,33.2335917,-5.0582908,3.5,2,False,False,,moroccan,RN13,amenity,bar,5.000152590214416e-05,"Cafe - casual cafe in Timhadit تمهديت, cuisine: moroccan, rated 3.5/5"
Bonsai Sushi Bar,bar,sushi;asian;japanese,casual,Ifrane ⵉⴼⵔⴰⵏ إفران,33.5289210,-5.1098057,3.5,2,False,False,,sushi;asian;japanese,Avenue Atlas شارع الأطلس,amenity,restaurant,5.339360646977977e-05,"Bonsai Sushi Bar - casual bar in Ifrane ⵉⴼⵔⴰⵏ إفران, cuisine: sushi;asian;japanese, rated 3.5/5"
MEKNES's Bakery,bakery,bakery,casual,Tétouan تطوان,35.5843520,-5.3512960,3.5,2,False,False,,,Avenue Sidi Mohamed El Kharraz,amenity,restaurant,6.134966048671728e-05,"MEKNES's Bakery - casual bakery in Tétouan تطوان, rated 3.5/5"
Bakery Shop,bakery,bakery,casual,Meknès ⴰⵎⴽⵏⴰⵙ مكناس,33.8958374,-5.5681923,3.5,2,False,False,,,Rue Ferrane Ba Allal,shop,bakery,6.176012817573842e-05,"Bakery Shop - casual bakery in Meknès ⴰⵎⴽⵏⴰⵙ مكناس, rated 3.5/5"
