query,candidate,label,mode
looking for: social media for hotels,"ProFit Casablanca - casual gym, no instagram, no video, 4.2 stars",low,leads
cheap barbershop open now,"Royal Spa - luxury spa, massage, 4.9 stars, completely different service",low,places
coffee cafe pastry luxury morning,"Patisserie Royale - luxury cafe, pastry, coffee, open morning, 4.8 stars, 5 minute walk",high,places
find me coffee cafe pastry luxury morning,"Result: Patisserie Royale - luxury cafe, pastry, coffee, open morning, 4.8 stars",high,places
potential client for gyms services,"Pulse Gym Casablanca - casual gym, has some content, partial social media, 4.0 stars",medium,leads
moroccan restaurant luxury Rabat,"Dar Zitoun - luxury moroccan restaurant in Rabat, 4.8 stars, open, 5 minute walk",high,places
find me sushi restaurant max 1km Casablanca,"Result: Sushi Garden - casual sushi restaurant, 0.9km, Casablanca, open, 4.3 stars",high,places
photography for luxury restaurants in any city,"Iron Body Rabat - casual gym, no instagram, no video, 4.0 stars, wrong business type",low,leads
digital marketing for barbershops in any city,"Riad Palace Casablanca - luxury hotel, no instagram, 4.8 stars, wrong business type",low,leads
find me wellness spa relax near me open,"Result: Zen Retreat - casual wellness spa, relaxation, 0.8km, open, 4.3 stars",high,places
luxury spa massage,"Burger Palace - budget burger restaurant, 0.5km, open",low,places
brand content creation for gyms no social media,"Iron Body Rabat - casual gym, no instagram, no video, website no, 4.0 stars",high,leads
hammam spa luxury Rabat,"Hammam Palace - luxury spa, hammam, Rabat, 4.7 stars, open",high,places
video production for luxury hotels Rabat good potential client,"Atlas Inn Casablanca - luxury hotel, no video content, has instagram, no website, 4.4 stars, clear opportunity",high,leads
reels for hotels,"Kasbah Hotel Casablanca - luxury hotel, has instagram but not active, website yes, 4.5 stars",medium,leads
french restaurant fine dining good reviews,"Le Grill - luxury french restaurant, 4.8 stars, open, city center, highly rated",high,places
french restaurant fine dining,"Le Grill - luxury french restaurant, 4.8 stars, open, city center",high,places
I offer video editing for restaurants Rabat looking for opportunities,"Casa Grill Casablanca - casual restaurant, has video content already, website yes, 4.3 stars, some potential",medium,leads
web design for gyms Casablanca no website,"FitZone Casablanca - casual gym, no website, instagram no, 4.1 stars, 67 reviews",high,leads
looking for gym fitness open early,"CrossFit Zone - gym, fitness but opens at 7am, may not be early enough",medium,places
barbershop haircut quick near me open today,"The Barber Room - barbershop, beard specialist, 1.8km, might need appointment, check availability",medium,places
hammam spa open now,"La Trattoria - luxury italian restaurant, 3km, completely different service",low,places
gym yoga open morning open now,"Sushi Garden - casual sushi restaurant, 0.9km, completely different service",low,places
wellness spa relax max 1km open,"Zen Retreat - casual wellness spa, relaxation, 0.8km, open, 4.3 stars",high,places
gym yoga near me open today,"FitLife Gym - casual gym, has yoga class but not specialized, 2km, open, check availability",medium,places
moroccan restaurant luxury Rabat,"Dar Zitoun - luxury moroccan restaurant in Rabat, 4.8 stars, open",high,places
website creation for gyms,"MoveMore Rabat - casual gym, has website, has instagram, 4.0 stars",medium,leads
digital marketing for barbershops looking for opportunities,"Sharp Cuts Rabat - casual barbershop, has website but no social media, 3.7 stars, some potential",medium,leads
french restaurant open now,"Yoga Studio - yoga gym, luxury, 4.6 stars, completely different service",low,places
i need cafe pastry,"CrossFit Zone - crossfit gym, intense workouts",low,places
website creation for gyms in Casablanca no website,"ProFit Casablanca - casual gym, Casablanca, no website, instagram yes, 4.2 stars",high,leads
cafe coffee cheap max 1km,"Cafe Darna - budget cafe, coffee, 0.3km, open now, 3.9 stars",high,places
looking for clients: instagram content for spas with no social media,"Pure Bliss Casablanca - casual spa, no instagram, no video, website yes, 4.1 stars",high,leads
I build websites for restaurants that have no online presence,"Bab Souika Rabat - casual moroccan restaurant, no website, no instagram, 3.7 stars, 22 reviews",high,leads
social media management for hotels no instagram Marrakech good potential client,"Riad Palace Casablanca - luxury hotel, no instagram, no video, website yes, 4.8 stars, clear opportunity",high,leads
barber beard grooming luxury,"Elite Barber - luxury barbershop, beard grooming, 4.6 stars, open",high,places
hotel city center open now,"Noodle House - casual asian restaurant, noodles, completely different service",low,places
cafe coffee quick open today,"Patisserie Royale - luxury cafe, coffee but expensive and slow service, check availability",medium,places
video production for spas in any city,"Casa Grill Casablanca - casual restaurant, has video content, 4.3 stars, wrong business type",low,leads
photography for restaurants luxury niche no website,"Le Relais Casablanca - luxury restaurant, no website, no video, instagram yes, 4.5 stars",high,leads
photography for restaurants luxury niche no website,"Le Relais Casablanca - luxury restaurant, no website, no video, instagram yes, 4.5 stars",high,leads
gym crossfit open now,"Patisserie Royale - luxury cafe, pastry, 4.8 stars, completely different service",low,places
i need moroccan restaurant,"Budget Stay - budget hotel, city center",low,places
looking for italian restaurant luxury,"La Trattoria - luxury italian, 3km away, open but far, 4.5 stars",medium,places
asian noodle restaurant budget,"Noodle House - casual asian restaurant, noodles, budget, 0.7km, open, 5 minute walk",high,places
web design for gyms Casablanca no website,"FitZone Casablanca - casual gym, no website, instagram no, 4.1 stars, 67 reviews",high,leads
gym yoga open morning Rabat,"Yoga Studio - luxury yoga gym, Rabat, open early morning, 4.6 stars",high,places
find me hotel budget city center open,"Result: Budget Stay - budget hotel, city center, 3.5 stars, open",high,places
moroccan restaurant luxury Rabat good reviews,"Dar Zitoun - luxury moroccan restaurant in Rabat, 4.8 stars, open, highly rated",high,places
moroccan restaurant,"Budget Stay - budget hotel, city center",low,places
coffee cafe morning open now,"Iron Works - weights gym, open early, 0.7km, completely different service",low,places
coffee cafe near me open today,"Cafe Central - cafe, coffee, 2.2km away, a bit far, check availability",medium,places
cafe coffee cheap near me,"Cafe Darna - budget cafe, coffee, 0.3km, open now, 3.9 stars",high,places
find me italian restaurant not expensive open,"Result: Pizza Roma - budget italian restaurant, 0.8km, open, 4.1 stars",high,places
I create reels for cafes looking for opportunities,"Coffee Story Rabat - casual cafe, has some instagram posts, website yes, 3.9 stars, some potential",medium,leads
italian restaurant not expensive open,"Pizza Roma - budget italian restaurant, 0.8km, open, 4.1 stars, 5 minute walk",high,places
asian noodle restaurant budget good reviews,"Noodle House - casual asian restaurant, noodles, budget, 0.7km, open, highly rated",high,places
looking for barbershop haircut quick near me,"The Barber Room - barbershop, beard specialist, 1.8km, might need appointment",medium,places
sushi Rabat max 1km,"Tokyo Nights - sushi restaurant but 1.3km, slightly outside range",medium,places
find me moroccan food casual lunch,"Result: Cafe Atlas - casual moroccan restaurant, lunch, 0.6km, open, 4.1 stars",high,places
hammam spa luxury Rabat,"Hammam Palace - luxury spa, hammam, Rabat, 4.7 stars, open",high,places
find me luxury spa massage Casablanca,"Result: Royal Spa - luxury spa, massage, Casablanca, 4.9 stars, open",high,places
I build websites for restaurants that have no online presence good potential client,"Bab Souika Rabat - casual moroccan restaurant, no website, no instagram, 3.7 stars, 22 reviews, clear opportunity",high,leads
video production for luxury hotels Rabat,"Atlas Inn Casablanca - luxury hotel, no video content, has instagram, no website, 4.4 stars",high,leads
i need hotel city center,"Noodle House - casual asian restaurant, noodles",low,places
looking for gym yoga near me,"FitLife Gym - casual gym, has yoga class but not specialized, 2km, open",medium,places
hotel budget city center open good reviews,"Budget Stay - budget hotel, city center, 3.5 stars, open, highly rated",high,places
video production for spas,"Casa Grill Casablanca - casual restaurant, has video content, 4.3 stars",low,leads
burger restaurant fast food near me good reviews,"Burger Palace - budget burger restaurant, 0.5km, open, 4.0 stars, highly rated",high,places
gym crossfit,"Patisserie Royale - luxury cafe, pastry, 4.8 stars",low,places
cheap barbershop,"Royal Spa - luxury spa, massage, 4.9 stars",low,places
hotel budget city center open,"Budget Stay - budget hotel, city center, 3.5 stars, open",high,places
luxury spa massage Casablanca,"Royal Spa - luxury spa, massage, Casablanca, 4.9 stars, open, 5 minute walk",high,places
looking for cheap barbershop,"Classic Cuts - casual barbershop, standard prices, 1.5km, open",medium,places
hotel budget city center open,"Budget Stay - budget hotel, city center, 3.5 stars, open, 5 minute walk",high,places
cafe coffee quick,"Patisserie Royale - luxury cafe, coffee but expensive and slow service",medium,places
find me barber beard grooming luxury,"Result: Elite Barber - luxury barbershop, beard grooming, 4.6 stars, open",high,places
luxury spa massage Casablanca,"Royal Spa - luxury spa, massage, Casablanca, 4.9 stars, open",high,places
cheap barbershop haircut open today,"Quick Cut - budget barbershop, affordable haircut, 0.4km, open",high,places
sushi restaurant near me open now open today,"Noodle House - asian fusion restaurant, 1.8km, open, 4.0 stars (not sushi but asian), check availability",medium,places
burger restaurant fast food max 1km,"Burger Palace - budget burger restaurant, 0.5km, open, 4.0 stars",high,places
sushi Rabat max 1km open today,"Tokyo Nights - sushi restaurant but 1.3km, slightly outside range, check availability",medium,places
find me hotel luxury 5 star Marrakech,"Result: Grand Palace Hotel - luxury 5-star hotel, Marrakech, 4.8 stars, open",high,places
luxury spa massage Casablanca good reviews,"Royal Spa - luxury spa, massage, Casablanca, 4.9 stars, open, highly rated",high,places
reels for hotels luxury,"Beans Beyond Rabat - casual cafe, no video, no instagram, 3.8 stars",low,leads
coffee cafe near me,"Cafe Central - cafe, coffee, 2.2km away, a bit far",medium,places
I offer video editing for restaurants in any city,"FitZone Casablanca - casual gym, no website, no instagram, 4.1 stars, wrong business type",low,leads
find me burger restaurant fast food near me,"Result: Burger Palace - budget burger restaurant, 0.5km, open, 4.0 stars",high,places
wellness spa relax near me open,"Zen Retreat - casual wellness spa, relaxation, 0.8km, open, 4.3 stars",high,places
burger restaurant fast food near me,"Burger Palace - budget burger restaurant, 0.5km, open, 4.0 stars, 5 minute walk",high,places
I build websites for restaurants in any city,"Serenity Casablanca - luxury spa, no video, instagram no, 4.6 stars, wrong business type",low,leads
i need coffee cafe morning,"Iron Works - weights gym, open early, 0.7km",low,places
looking for sushi Rabat max 1km,"Tokyo Nights - sushi restaurant but 1.3km, slightly outside range",medium,places
I offer instagram content for spas with no social media good potential client,"Pure Bliss Casablanca - casual spa, no instagram, no video, website yes, 4.1 stars, clear opportunity",high,leads
burger fast food open now,"Hammam Palace - luxury hammam spa, 4.7 stars, completely different service",low,places
luxury spa massage Casablanca,"Royal Spa - luxury spa, massage, Casablanca, 4.9 stars, open",high,places
burger fast food,"Hammam Palace - luxury hammam spa, 4.7 stars",low,places
moroccan food casual lunch good reviews,"Cafe Atlas - casual moroccan restaurant, lunch, 0.6km, open, 4.1 stars, highly rated",high,places
sushi restaurant near me open now,"Elite Barber - luxury barbershop, beard grooming, 0.4km, completely different service",low,places
crossfit gym intense workout good reviews,"CrossFit Zone - casual gym, crossfit, 1.0km, open, 4.4 stars, highly rated",high,places
potential client for Rabat services,"Casa Grill Casablanca - casual restaurant, has video content already, website yes, 4.3 stars",medium,leads
burger fast food cheap open today,"Gourmet Burger - burger restaurant but slightly more expensive than budget, check availability",medium,places
moroccan restaurant open now,"Budget Stay - budget hotel, city center, completely different service",low,places
italian restaurant luxury,"La Trattoria - luxury italian, 3km away, open but far, 4.5 stars",medium,places
potential client for cafes services,"Coffee Story Rabat - casual cafe, has some instagram posts, website yes, 3.9 stars",medium,leads
social media management for hotels no instagram Marrakech,"Riad Palace Casablanca - luxury hotel, no instagram, no video, website yes, 4.8 stars",high,leads
asian noodle restaurant budget,"Noodle House - casual asian restaurant, noodles, budget, 0.7km, open",high,places
digital marketing for barbershops,"Sharp Cuts Rabat - casual barbershop, has website but no social media, 3.7 stars",medium,leads
hotel luxury Marrakech open now,"Quick Cut - budget barbershop, haircut, 0.4km, completely different service",low,places
social media for hotels looking for opportunities,"City Hotel Casablanca - casual hotel, has instagram, has website, some video, 3.8 stars, some potential",medium,leads
hotel luxury 5 star Marrakech,"Grand Palace Hotel - luxury 5-star hotel, Marrakech, 4.8 stars, open",high,places
cafe pastry open now,"CrossFit Zone - crossfit gym, intense workouts, completely different service",low,places
looking for: photography for luxury restaurants,"Iron Body Rabat - casual gym, no instagram, no video, 4.0 stars",low,leads
find me asian noodle restaurant budget,"Result: Noodle House - casual asian restaurant, noodles, budget, 0.7km, open",high,places
moroccan restaurant cheap open today,"Dar Zitoun - luxury moroccan, 4.8 stars but expensive, check availability",medium,places
looking for french restaurant affordable,"Le Grill - french restaurant but luxury price, may be expensive for budget",medium,places
gym yoga near me,"FitLife Gym - casual gym, has yoga class but not specialized, 2km, open",medium,places
photography for luxury restaurants,"Iron Body Rabat - casual gym, no instagram, no video, 4.0 stars",low,leads
luxury spa massage open today,"Urban Spa - casual spa, beauty treatments, 2.5km, open, 3.8 stars, check availability",medium,places
content marketing for moroccan restaurants Rabat good potential client,"Dar Tajine Rabat - luxury moroccan restaurant, no video, instagram yes, website yes, 4.6 stars, clear opportunity",high,leads
i need hotel luxury Marrakech,"Quick Cut - budget barbershop, haircut, 0.4km",low,places
cafe coffee cheap near me good reviews,"Cafe Darna - budget cafe, coffee, 0.3km, open now, 3.9 stars, highly rated",high,places
looking for moroccan restaurant cheap,"Dar Zitoun - luxury moroccan, 4.8 stars but expensive",medium,places
social media for hotels in any city,"ProFit Casablanca - casual gym, no instagram, no video, 4.2 stars, wrong business type",low,leads
hotel budget city center open,"Budget Stay - budget hotel, city center, 3.5 stars, open",high,places
brand content creation for gyms no social media,"Iron Body Rabat - casual gym, no instagram, no video, website no, 4.0 stars",high,leads
digital marketing for barbershops Casablanca,"Man Cave Casablanca - casual barbershop, no website, no instagram, 3.8 stars, 34 reviews",high,leads
website creation for gyms looking for opportunities,"MoveMore Rabat - casual gym, has website, has instagram, 4.0 stars, some potential",medium,leads
looking for: I offer video editing for restaurants,"FitZone Casablanca - casual gym, no website, no instagram, 4.1 stars",low,leads
i need sushi restaurant near me,"Elite Barber - luxury barbershop, beard grooming, 0.4km",low,places
social media for hotels,"ProFit Casablanca - casual gym, no instagram, no video, 4.2 stars",low,leads
find me sushi restaurant near me open now good rating,"Result: Tokyo Nights - luxury sushi restaurant, 0.6km, open now, 4.7 stars",high,places
moroccan restaurant cheap,"Dar Zitoun - luxury moroccan, 4.8 stars but expensive",medium,places
website creation for gyms in Casablanca no website,"ProFit Casablanca - casual gym, Casablanca, no website, instagram yes, 4.2 stars",high,leads
i need hammam spa,"La Trattoria - luxury italian restaurant, 3km",low,places
looking for cafe coffee quick,"Patisserie Royale - luxury cafe, coffee but expensive and slow service",medium,places
I do short form video ads for cafes good potential client,"Cafe Art Rabat - casual cafe, no video content, instagram yes, website no, 3.9 stars, 58 reviews, clear opportunity",high,leads
I build websites for restaurants,"Al Fassia Casablanca - luxury restaurant, already has website, instagram yes, 4.8 stars",medium,leads
french restaurant affordable,"Le Grill - french restaurant but luxury price, may be expensive for budget",medium,places
barber beard grooming luxury,"Elite Barber - luxury barbershop, beard grooming, 4.6 stars, open, 5 minute walk",high,places
gym yoga open morning Rabat,"Yoga Studio - luxury yoga gym, Rabat, open early morning, 4.6 stars, 5 minute walk",high,places
coffee cafe pastry luxury morning,"Patisserie Royale - luxury cafe, pastry, coffee, open morning, 4.8 stars",high,places
I do ads and video for cafes no social media presence,"Latte Land Casablanca - casual cafe, no instagram, no video, no website, 3.5 stars, 15 reviews",high,leads
cheap barbershop open today,"Classic Cuts - casual barbershop, standard prices, 1.5km, open, check availability",medium,places
I do ads and video for cafes no social media presence,"Latte Land Casablanca - casual cafe, no instagram, no video, no website, 3.5 stars, 15 reviews",high,leads
hotel luxury Marrakech,"Quick Cut - budget barbershop, haircut, 0.4km",low,places
potential client for restaurants services,"Al Fassia Casablanca - luxury restaurant, already has website, instagram yes, 4.8 stars",medium,leads
i need gym crossfit,"Patisserie Royale - luxury cafe, pastry, 4.8 stars",low,places
